INFO : 21_03_03_14_52   Session started
INFO : 21_03_03_14_53   Strategy started
INFO : 21_03_03_14_53   Start h degree : 10
INFO : 21_03_03_14_53   Start v degree : 10.0
INFO : 21_03_03_14_53   Start targetwitdth : 0.32
INFO : 21_03_03_14_53   Start targetheight : 0.32
INFO : 21_03_03_15_03   PASS 1, Time :10 : 31
INFO : 21_03_03_15_03   Total :10 : 34
INFO : 21_03_03_15_08   PASS 2, Time :4 : 52
INFO : 21_03_03_15_08   Total :15 : 26
INFO : 21_03_03_15_22   PASS 3, Time :13 : 51
INFO : 21_03_03_15_22   Total :29 : 18
INFO : 21_03_03_15_28   PASS 4, Time :5 : 38
INFO : 21_03_03_15_28   Total :34 : 56
INFO : 21_03_03_15_35   PASS 5, Time :7 : 11
INFO : 21_03_03_15_35   Total :42 : 07
INFO : 21_03_03_15_40   PASS 6, Time :5 : 25
INFO : 21_03_03_15_40   Total :47 : 33
