INFO : 21_03_03_21_15   Session started
INFO : 21_03_03_21_18   Strategy started
INFO : 21_03_03_21_18   Start h degree : 10
INFO : 21_03_03_21_18   Start v degree : 10.0
INFO : 21_03_03_21_18   Start targetwitdth : 0.32
INFO : 21_03_03_21_18   Start targetheight : 0.32
INFO : 21_03_03_21_28   PASS 1, Time :10 : 30
INFO : 21_03_03_21_28   Total :10 : 33
INFO : 21_03_03_21_34   PASS 2, Time :5 : 14
INFO : 21_03_03_21_34   Total :15 : 47
INFO : 21_03_03_22_05   PASS 3, Time :31 : 38
INFO : 21_03_03_22_05   Total :47 : 26
