INFO : 21_03_13_18_37   Session started
INFO : 21_03_13_18_39   Strategy started
INFO : 21_03_13_18_39   Start h degree : 10
INFO : 21_03_13_18_39   Start v degree : 10.0
INFO : 21_03_13_18_39   Start targetwitdth : 0.32
INFO : 21_03_13_18_39   Start targetheight : 0.32
INFO : 21_03_13_18_48   PASS 1, Time :9 : 10
INFO : 21_03_13_18_48   Total :9 : 12
INFO : 21_03_13_18_57   PASS 2, Time :8 : 46
INFO : 21_03_13_18_57   Total :17 : 59
INFO : 21_03_13_19_07   PASS 3, Time :9 : 33
INFO : 21_03_13_19_07   Total :27 : 32
