INFO : 21_02_26_22_26   Session started
INFO : 21_02_26_22_27   Strategy started
INFO : 21_02_26_22_27   Start h degree : 10
INFO : 21_02_26_22_27   Start v degree : 20.0
INFO : 21_02_26_22_27   Start targetwitdth : 0.32
INFO : 21_02_26_22_27   Start targetheight : 0.64
INFO : 21_02_26_22_32   PASS 1, Time :5 : 27
INFO : 21_02_26_22_32   Total :5 : 30
INFO : 21_02_26_22_45   PASS 2, Time :13 : 04
INFO : 21_02_26_22_45   Total :18 : 34
INFO : 21_02_26_23_24   PASS 3, Time :38 : 43
INFO : 21_02_26_23_24   Total :57 : 17
