M1|done|0.00|0|unknown|      86.275868
M2|done|0.00|1|1|     105.439533
M3|done|0.00|2|1|     116.323520
S1|O,OK!|3|116.482548| 0.0000000| 0.0000000
S1|S: 32.6`C,3.0V|5|116.499533| 0.0000000| 0.0000000
S2|O,OK!|4|116.492184|45.0000000| 0.0000000
S2|S: 30.3`C,3.1V|6|116.509818|45.0000000| 0.0000000
M2|done|0.00|9|1|     128.784994
M3|done|0.00|10|1|     128.794003
M1|done|0.00|8|unknown|     128.991672
M1|done|0.00|11|unknown|     129.255437
M1|done|20.00|14|unknown|     132.853746
M2|done|20.00|12|0|     133.781075
M3|done|20.00|13|0|     133.790094
M1|done|40.00|17|unknown|     137.198667
M2|done|40.00|15|0|     138.869466
M3|done|40.00|16|0|     138.878439
M1|done|60.00|20|unknown|     142.284667
M2|done|60.00|18|0|     143.957906
M3|done|60.00|19|0|     143.966758
M1|done|80.00|23|unknown|     147.379602
M2|done|80.00|21|0|     149.046382
M3|done|80.00|22|0|     149.055129
M1|done|100.00|26|unknown|     152.464571
M2|done|100.00|24|0|     154.134708
M3|done|100.00|25|0|     154.143542
M1|done|120.00|29|unknown|     157.549448
M2|done|120.00|27|0|     159.223068
M3|done|120.00|28|0|     159.231945
M1|done|140.00|32|unknown|     162.644549
M2|done|140.00|30|0|     164.311454
M3|done|140.00|31|0|     164.320306
M1|done|160.00|35|unknown|     167.729579
M2|done|160.00|33|0|     169.399831
M3|done|160.00|34|0|     169.408738
M1|done|140.00|38|unknown|     172.814527
M2|done|140.00|36|0|     174.488234
M3|done|140.00|37|0|     174.497106
M1|done|120.00|41|unknown|     177.909629
M2|done|120.00|39|0|     179.576583
M3|done|120.00|40|0|     179.585771
M1|done|100.00|44|unknown|     182.996593
M2|done|100.00|42|0|     184.664956
M3|done|100.00|43|0|     184.674107
M1|done|80.00|47|unknown|     188.081514
M2|done|80.00|45|0|     189.753358
M3|done|80.00|46|0|     189.762455
M1|done|60.00|50|unknown|     193.177394
M2|done|60.00|48|0|     194.841736
M3|done|60.00|49|0|     194.850812
