M2|done|0.00|1|1|      25.919052
M1|done|0.00|0|unknown|      26.123365
M3|done|0.00|2|1|      27.435519
S1|O,OK!|3| 27.629346| 0.0000000| 0.0000000
S1|S: 30.6`C,3.0V|5| 27.646874| 0.0000000| 0.0000000
S2|O,OK!|4| 27.639561|45.0000000| 0.0000000
S2|S: 30.3`C,3.1V|6| 27.656168|45.0000000| 0.0000000
M3|done|0.00|10|1|      42.733011
M1|done|0.00|8|unknown|      42.939801
M2|done|0.00|9|1|      42.945882
M1|done|0.00|11|unknown|      43.203584
M3|done|50.00|13|0|      48.654323
M2|done|50.00|12|0|      48.860882
M1|done|50.00|14|unknown|      49.118652
M3|done|100.00|16|0|      54.569424
M2|done|100.00|15|0|      54.775985
M1|done|100.00|17|unknown|      55.033843
M3|done|150.00|19|0|      60.484424
M1|done|150.00|20|unknown|      60.948879
M2|done|150.00|18|0|      60.691132
M3|done|200.00|22|1|      66.399446
M2|done|200.00|21|0|      66.606221
M1|done|200.00|23|unknown|      66.863930
M3|done|150.00|25|0|      72.314685
M1|done|150.00|26|unknown|      72.779108
M2|done|150.00|24|0|      72.521371
