M1|done|0.00|0|unknown|     854.315721
M2|done|0.00|1|1|     854.316353
M3|done|0.00|2|1|     854.325511
S1|O,OK!|3|855.436489| 0.0000000| 0.0000000
S1|S: 26.3`C,3.1V|5|855.452605| 0.0000000| 0.0000000
S2|O,OK!|4|855.446006|45.0000000| 0.0000000
S2|S: 25.7`C,3.1V|6|855.463166|45.0000000| 0.0000000
S1|D: 1.611m,0036|8|894.537549| 0.0000000| 0.0000000
S2|D: 1.592m,0038|9|894.546514|45.0000000| 0.0000000
M1|done|0.00|10|unknown|     894.547075
S1|D: 1.611m,0042|11|895.147571| 0.0000000| 0.0000000
S2|D: 1.592m,0034|12|895.156827|45.0000000| 0.0000000
M1|done|0.00|15|unknown|     895.175462
M2|done|0.00|13|1|     895.158537
M3|done|0.00|14|1|     895.167535
S1|D: 1.611m,0040|16|895.774627| 0.0000000| 0.0000000
S2|D: 1.592m,0049|17|895.777471|45.0000000| 0.0000000
M2|done|50.00|18|0|     896.362555
M3|done|50.00|19|0|     896.367898
M1|done|50.00|20|unknown|     903.844456
S1|D: 2.650m,0049|21|904.444573|50.0000000|50.0000000
S2|D: 0.796m,0186|22|904.448621|95.0000000|50.0000000
M2|done|100.00|23|0|     905.033309
M3|done|100.00|24|0|     905.040074
M1|done|100.00|25|unknown|     912.518468
S2|D: 2.525m,0083|27|913.118587|145.0000000|100.0000000
S1|D: 3.056m,0136|26|913.496769|100.0000000|100.0000000
M2|done|150.00|28|0|     914.081363
M3|done|150.00|29|0|     914.085768
M1|done|150.00|30|unknown|     921.571448
S2|D: 0.314m,0045|32|922.180616|195.0000000|150.0000000
S1|D: 0.629m,2314|31|923.308100|150.0000000|150.0000000
M2|done|100.00|33|0|     923.892730
M3|done|100.00|34|0|     923.897817
M1|done|100.00|35|unknown|     931.377498
